,DEVICE_ID,OS,DEVICE,DEVICE_SCORE
2000027,7C45E75D-AA1D-44CE-9C78-76A00A8E22DE,iOS,iPhone 8 Plus,5
2000028,26f865fdccdbc299,Android,SM-N970F,4
2000029,6cfdd11721875e45,Android,SM-A307G,2
2000030,AC16F51E-B73C-42E4-AC90-854BCA4BAC37,iOS,iPhone X,5
2000031,FBF2C212-C203-4C20-BE89-CF1D7E847D2D,iOS,"iPhone11,2",5
2000032,65C607BD-B46F-47FD-A601-78F73CADC68E,iOS,iPhone 8,5
2000033,1ed80edce76fe8db,Android,motorola one zoom,4
2000034,0692bea7eaf23510,Android,SM-A805F,4
2000035,61fe1d8e80462ac9,Android,Moto G (5) Plus,3
2000036,384E4338-D13F-4CDB-B8B1-3BFAF85EFB3A,iOS,"iPhone11,8",5
2000037,55061411-1A6F-4B44-8CDE-1313DE43ABDF,iOS,"iPhone12,1",5
2000038,f567005787bac643,Android,moto e6s,-1
2000039,753f2d2ef7888abd,Android,SM-J250M,1
2000040,fcf493b81dc6b0a5,Android,Moto E (4),1
2000041,b18fc8e7df84a461,Android,moto g(6) play,1
2000042,107844C1-5F7A-4B72-A45D-22B4FC93C618,iOS,iPhone 5s,2
2000043,5ef54c379f4e41b8,Android,WAS-LX3,3
2000044,c6364d47d7a92551,Android,SM-N9600,5
2000045,3773c84e5f623df7,Android,F3213,2
2000046,4E9AB205-B62D-45C0-880B-C5861262D189,iOS,iPhone 6,3
2000047,881C148A-6FEA-49DE-A8DD-8A9C1F06A646,iOS,iPhone 7 Plus,4
2000048,0730b07bfb671a6a,Android,LM-V350,4
2000049,f05d404ea307bd0f,Android,SNE-LX3,3
2000050,C83327F5-A6FF-4A19-9B95-E3A0E24B0F79,iOS,iPhone 6,3
2000051,F058219B-CECF-494F-B388-433081AB4371,iOS,iPhone 8 Plus,5
2000052,ac6955adae623abb,Android,MI 8 Lite,2
2000053,2146e0b8f73f46f2,Android,SM-G950F,2
2000054,6CEDB755-9082-4A66-A33D-72DC88C6ECF7,iOS,iPhone X,5
2000055,6bd6fe8e0761cef8,Android,moto g(7),2
2000056,b64dc497f95c4674,Android,SM-A920F,4
2000057,97BA888F-5020-4CB9-820D-FFDA06198833,iOS,"iPhone11,6",5
2000058,4DBC8536-6F08-43DD-9516-6BB9534FF0FC,iOS,iPhone X,5
2000059,0df03e1655935a59,Android,SM-G9650,4
2000060,D0CC45C3-AF9B-4AEA-B7BC-170E5E3A5F12,iOS,iPhone X,5
2000061,11054887-B91F-433D-94F1-8C6B95AEC0E6,iOS,iPhone 7 Plus,4
2000062,5C6CF057-BA71-4697-9B55-5ECE6FC34913,iOS,iPhone 7,4
2000063,da076e5c546d1e0a,Android,SM-G950F,2
2000064,3c30d93317cc96f8,Android,ALP-AL00,4
2000065,c9b75654142bd4af,Android,SM-A320Y,3
2000066,caa71fdff31c5167,Android,SM-A505G,2
2000067,16557D89-1A03-4AF9-B33F-263896449976,iOS,iPhone 8 Plus,5
2000068,C58CD0AE-CFEF-45E3-9A07-FAC03F3814BB,iOS,iPhone X,5
2000069,0d7a3d1303925710,Android,SM-G935F,1
2000070,1ed07b7668ca79ce,Android,SM-A107M,1
2000071,2438E724-898E-46AF-9535-8120F05FCEE2,iOS,"iPhone11,6",5
2000072,B8A60722-34A5-4ED1-A1A6-92912BED3802,iOS,"iPhone11,2",5
2000073,e3e46db6b1bf8c15,Android,SM-A505G,2
2000074,a7ff6d17a3951280,Android,SM-N975F,5
2000075,7ECCE949-8C54-46B0-9B89-82260AD09022,iOS,iPhone 8 Plus,5
2000076,bcaabd74f6abd115,Android,G3223,3
2000077,ac2f317a6a8d8292,Android,motorola one,1
2000078,098B5078-C53C-4D31-B8E0-455523982C7D,iOS,"iPhone12,1",5
2000079,F9B11909-0223-467D-8280-C8FFA212C49F,iOS,iPhone 8 Plus,5
2000080,3c43723736d80212,Android,SM-N970F,4
2000081,4B635B2A-175B-4131-BB6A-1AB54C96E39B,iOS,iPhone 8,5
2000082,9a4e0d7ee200fb5e,Android,SM-G9600,3
2000083,A2FEAE72-F796-4178-B84F-B02B3AA1AECC,iOS,"iPhone11,2",5
2000084,0FDFDA14-4674-40D7-8D2F-0894C85CDDA8,iOS,iPhone 8,5
2000085,f9643d36eae52f01,Android,SM-G975F,4
2000086,221e80a039acb393,Android,SM-G975U,4
2000087,B56C74F7-7D1C-4CA6-B8F9-B45BE5595DC8,iOS,iPhone 7,4
2000088,ccbb70caccc511d2,Android,ALP-L09,4
2000089,5a8d75aacce6027f,Android,SM-G9600,3
2000090,85b745b0ca038e8c,Android,BLADE V8Q,2
2000091,931515c01ef1dec3,Android,STK-LX3,2
2000092,0711a6b9d71eec98,Android,moto g(6),2
2000093,07b3ad7085326221,Android,VOG-L29,4
2000094,DB42463A-1F8E-47AB-AAC4-B8A932F6B3F7,iOS,iPhone 7 Plus,4
2000095,9D8B3438-30CE-4D8A-BA4B-9FEA61476A3B,iOS,"iPhone11,8",5
2000096,17BECDB0-843A-4FAC-BD27-9E796872706D,iOS,iPhone 8 Plus,5
2000097,964FECEA-C281-4BC8-99BC-9BA4E89B57F9,iOS,iPhone 8 Plus,5
2000098,17920f2a04fdf322,Android,SM-A505G,2
2000099,5a6becda5e9a45b6,Android,ANE-LX3,3
2000100,b4244a596ba47390,Android,MAR-LX3A,2
2000101,f342c2f8f01a2c10,Android,SNE-LX3,3
2000102,A4B6D9E4-E546-410C-85C3-AA3251B956D2,iOS,"iPhone11,2",5
2000103,bf00842667fbb289,Android,Moto Z2 Play,3
2000104,674afda8238a54f5,Android,PAR-LX9,4
2000105,aa6694a88e74e70e,Android,SM-A530F,3
2000106,4BD79AFF-1FEA-4C85-8483-56823FEB9EB1,iOS,iPhone 6s,4
2000107,614EE05B-9CF1-48DE-AC8C-11305F67E342,iOS,"iPhone11,6",5
2000108,bb272a1f7a72332d,Android,ELE-L04,4
2000109,5A24783D-2C32-457D-B07E-4F5FBB770A2A,iOS,iPhone 6,3
2000110,924b814ad2e478d9,Android,SM-A307G,2
2000111,2fc81b4d199f282a,Android,Redmi Note 7,1
2000112,aadf73a5d121a071,Android,SM-J700M,1
2000113,B94BEB2B-F098-448E-8AA5-CEE25327167F,iOS,iPhone 8 Plus,5
2000114,47614ed2df9f097e,Android,SM-A105M,1
2000115,7289701C-06EE-4A95-9A87-3575FD31C4C0,iOS,"iPhone11,8",5
2000116,47A325C4-BE73-4D5A-B45A-14BA1FFDD000,iOS,iPhone 6s,4
2000117,6f42c0cf8071d100,Android,Redmi Note 7 Pro,2
2000118,bc249388746dfe52,Android,DUB-LX3,2
2000119,3543873A-5978-4EB3-AA36-2FF6A43404EA,iOS,iPhone 8 Plus,5
2000120,d1efaa6e2f0cc129,Android,DUB-LX3,2
2000121,128dbbc98449d242,Android,MAR-LX3A,2
2000122,411B28F1-EBD0-4D43-A11B-59541798091D,iOS,iPhone 7,4
2000123,E5215EFF-26AF-42E4-BCDA-52F4DBE369DD,iOS,iPhone 8 Plus,5
2000124,D0C33A7D-A962-49BD-A45A-993D6B59DB89,iOS,iPhone 6s Plus,4
2000125,F265397B-7507-4E52-8222-58F6E6AD855D,iOS,iPhone X,5
2000126,1d473cbb32f2c3d0,Android,PAR-LX9,4
2000127,bdac77ddd7859222,Android,HMA-L09,4
2000128,6d52d83d89dfdf52,Android,FIG-LX3,2
2000129,7d77a5d2b91dba67,Android,SM-G955U,3
2000130,4C29227C-5318-40C2-9886-A920B3396F31,iOS,iPhone 8 Plus,5
2000131,5b5a52c4e6631b2c,Android,SNE-LX3,3
2000132,11b27a858a2210da,Android,SM-A520F,3
2000133,087d65237b1b4ab0,Android,Nokia 3.1,1
2000134,FB4F6C2C-90DB-4B69-B96F-0BD74F9E39AC,iOS,"iPhone11,2",5
2000135,b04821935d0b24bc,Android,SM-G973F,4
2000136,C006ED34-E603-43CA-B673-E82EBE927831,iOS,iPhone 7,4
2000137,cdc4bd3b7fc49de3,Android,ALP-L09,4
2000138,20872496-3ADB-4625-A053-B66CF14A21DA,iOS,iPhone 6s,4
2000139,9BCFECBF-956F-45EA-9923-DEA408D53AEC,iOS,iPhone 6s,4
2000140,afdd67082e65ca01,Android,SM-G950F,2
2000141,7c6ae220fb02ed3b,Android,SM-G9650,4
2000142,40b72e003acf13e7,Android,SM-N910C,3
2000143,093c514be88021df,Android,SM-J400M,2
2000144,048ec1aad1be28bf,Android,Nokia 5.1,1
2000145,11ADC4E1-3312-402F-A9A8-54C1AD11B735,iOS,iPhone 7 Plus,4
2000146,1441E976-F707-4BF9-A6FE-5E45A765F4BD,iOS,iPhone 8 Plus,5
2000147,e926e3cec1fa0570,Android,Mi A2,1
2000148,E13BE1F1-AE05-417E-86E8-EF37960E57D5,iOS,"iPhone12,5",5
2000149,c97b27e454a49a76,Android,SM-A307G,2
2000150,bc9e36ad14ef091d,Android,moto g(6),2
2000151,e21ad613d7a75bec,Android,ANE-LX3,3
2000152,27ac1c5e6866d1a7,Android,Ilium M9,3
2000153,c0dfb714b570b2df,Android,Redmi Note 7,1
2000154,5a6ef697978b338b,Android,BLA-A09,4
2000155,d284616801175d34,Android,Moto G (5) Plus,3
2000156,7ecc93b87be65f09,Android,SM-N970F,4
2000157,ce69f1a7f342cf8,Android,ALE-L23,1
2000158,1C11A2FE-8CBC-4536-B2F8-00C2BD35ED95,iOS,iPhone 6s,4
2000159,7BBEF2D2-762B-42CF-A549-8644DAC83734,iOS,iPhone 7,4
2000160,e3b8146bf646652e,Android,SM-J810M,3
2000161,a18cc7dc8a706ee6,Android,moto g(6),2
2000162,d599ecc5f716b532,Android,LYA-L09,4
2000163,9AC14F3C-C5D2-4A74-8380-1F2A95ED61D2,iOS,iPhone 8 Plus,5
2000164,32CCA68F-4C73-49F0-9EA6-B965CC1B32A4,iOS,iPhone 8,5
2000165,f64c5c3944fa9203,Android,Redmi Note 8,2
2000166,3442a1a3a63bd596,Android,HTC One,2
2000167,6B43E278-E2FA-4C75-92E1-2251D537FD18,iOS,"iPhone11,8",5
2000168,F4A07369-16EC-45E6-8CEB-FFEE4DFC827A,iOS,"iPhone12,3",5
2000169,3FC1DE06-8E7C-46A8-8B05-336137D92026,iOS,"iPhone11,6",5
2000170,54BCC1BA-50A7-4B57-9394-674F6DB190BD,iOS,iPhone 8,5
2000171,ff62c1974d99cc99,Android,ELE-L04,4
2000172,4A231BF3-4222-4C72-B1AF-09D16578A402,iOS,iPhone 8 Plus,5
2000173,18b9ab05d6885d76,Android,LG-M700,1
2000174,9179bc75a726fcd2,Android,SM-A505G,2
2000175,3577c15c76cc39d8,Android,SM-G970F,4
2000176,D5FCB3D3-E585-45C2-B969-102B80E055D7,iOS,iPhone SE,4
2000177,610BBA18-C801-4DEE-AD41-E5FF27A613DA,iOS,iPhone 7 Plus,4
2000178,35dec68e27d4fca2,Android,Mi Note 10 Lite,-1
2000179,0bf68eb43e54019a,Android,FLA-LX3,3
2000180,92C3F3D3-F9F8-456D-8098-6E643A0BA39E,iOS,iPhone 8,5
2000181,C9084643-9F40-431C-AA43-37DDA15F5403,iOS,iPhone 8,5
2000182,A1D2A8CD-FE1E-4C88-BBC8-8FDD13189AE7,iOS,iPhone 6,3
2000183,FF815F11-581D-4064-9957-5EE1A67F256A,iOS,iPhone 6 Plus,3
2000184,8c93f6cf2c58ceb7,Android,Moto Z2 Play,3
2000185,39e8589f502e8acd,Android,SM-G570M,1
2000186,B940F068-CD87-4277-B0DA-F0E4C18C623F,iOS,iPhone X,5
2000187,0D62DF71-0458-4E78-ACE9-AEA64AFB62F1,iOS,"iPhone11,8",5
2000188,3B7CA498-5A77-40DA-BC1D-70FDAD500275,iOS,"iPhone11,8",5
2000189,118736BD-27D5-4C14-9AC0-9F4CB263F6C6,iOS,iPhone 6,3
2000190,29da220b9ad67340,Android,BLADE V9,2
2000191,2DD8E467-220D-417B-858A-C0A0B89C343F,iOS,"iPhone11,2",5
2000192,801b7c252d4025d4,Android,BLADE V9,2
2000193,18B043F6-D468-407F-B063-1FD3DEDF3D08,iOS,iPhone 6s,4
2000194,f499944a36a1271a,Android,SM-G955F,3
2000195,724d37f085769212,Android,SM-A515F,2
2000196,0be8b6a4667a1f56,Android,SM-G610M,1
2000197,A4B4DA1B-7323-4A98-8316-09C935100C72,iOS,"iPhone12,5",5
2000198,e5f354b280ffd696,Android,SM-G975F,4
2000199,dd6a4049db7ecaba,Android,SM-G973F,4
2000200,4033dd696fc92ca5,Android,DRA-LX3,1
2000201,a57de08c7b155d45,Android,Mi A3,1
2000202,87747594-D908-4D7F-BF92-C23FB0B5BC51,iOS,"iPhone11,2",5
2000203,fdcb3d307409afd6,Android,FIG-LX3,2
2000204,066E4C2B-4AC3-455B-91DB-BF318ED73466,iOS,iPhone 7 Plus,4
2000205,2d31b911c3a1bd59,Android,moto e(6) plus,1
2000206,184FAC3D-1718-40D5-83CA-7BBED1F6CA3D,iOS,"iPhone12,5",5
2000207,1EA6FA06-BEC0-4504-94F5-BAB538A15033,iOS,iPhone SE,4
2000208,5ab714d274fa6454,Android,Redmi Note 5,1
2000209,75b385ebab0c97e2,Android,CLT-L04,4
2000210,630B4B5F-DF88-4E5C-8D40-A74307A8CB23,iOS,iPhone 7,4
2000211,02ad7bc28ccb0941,Android,POT-LX3,3
2000212,84B0DB27-34F7-46FA-89E8-20A4EC0A2AB3,iOS,iPhone 6,3
2000213,4B9F0692-542A-4E9E-BE79-48C4780F0A8C,iOS,iPhone 7,4
2000214,EC2F7B93-056E-4EDE-8E8E-CF0F39B7FE4E,iOS,"iPhone11,8",5
2000215,F6775DB5-B2D7-4B32-9F55-2B7CA6D08ACE,iOS,iPhone 7,4
2000216,51eb04762a1004cc,Android,SM-A520F,3
2000217,beee9a093c0a14c4,Android,SM-A505G,2
2000218,a3881330306c6ff6,Android,SM-A705MN,3
2000219,596CF7BB-8ACE-4DB3-8C14-93E220D85B91,iOS,iPhone 6,3
2000220,48A0373D-A00C-4066-BA9E-A870C43781EE,iOS,iPhone 8 Plus,5
2000221,518414EF-6AB3-4E31-858F-2A3E6DCCC1CF,iOS,iPhone 7,4
2000222,635518601f8cb004,Android,BAC-L03,3
2000223,79A7F9DE-043A-4212-B5D7-472F37519DC2,iOS,iPhone 7,4
2000224,9768DDFD-0A43-4285-ABA7-1AD8A1C205EC,iOS,"iPhone11,6",5
2000225,c8d3107e76672152,Android,F3313,1
2000226,034A83E3-F030-416B-A4AA-41995BB2D586,iOS,"iPhone11,8",5
2000227,d4eae771ab2510dc,Android,SM-G610M,1
2000228,94586A40-33A5-4727-A05A-571676334B8B,iOS,iPhone 7,4
2000229,B7CEC672-886E-427B-BC3B-E319298C5782,iOS,iPhone 6,3
2000230,a509ee611429b55e,Android,moto g(7) plus,1
2000231,E9A66CFC-7D89-4B5E-8B1C-89870047F9A5,iOS,"iPhone11,6",5
2000232,b8dbbecc938302cd,Android,MRD-LX3,1
2000233,a669dc0b93a34de1,Android,D6603,3
2000234,34d66ca23fb37e97,Android,PAR-LX9,4
2000235,1CC568B6-1C92-4910-8E6A-558CA9A47BEA,iOS,"iPhone11,8",5
2000236,d8deac081ad3c53e,Android,POT-LX3,3
2000237,e041f08621abec74,Android,SM-A720F,3
2000238,056995EB-4312-4370-BF44-6614E1F2E1BB,iOS,iPhone SE,4
2000239,823C0312-990A-46E8-94D1-F61B4E5CB8F5,iOS,iPad Mini 2,2
2000240,42E3E650-2011-4DF0-96DD-F9D638E25B46,iOS,iPhone 7,4
2000241,F20C476B-BAFE-4153-94D7-E27207C2E405,iOS,"iPhone11,8",5
2000242,34AA772C-EB33-4B6F-89F8-ACD968AD1808,iOS,iPhone 6,3
2000243,eb813f3230a26832,Android,SM-G965F,4
2000244,4697c654388fd4bd,Android,SM-G975F,4
2000245,3adbc25bc13f20be,Android,SM-N770F,4
2000246,8A1F1C6C-3DF5-42D3-B38D-411A9C46AF4E,iOS,"iPhone11,8",5
2000247,9f7a22186ad2aed2,Android,SM-J701M,2
2000248,2D19E13F-C369-4149-8396-4FBBAF814782,iOS,"iPhone11,8",5
2000249,58093dd51473d3c1,Android,JKM-LX3,2
2000250,10EFC65E-363F-43F0-B974-F390FA980EE4,iOS,iPhone 6s,4
2000251,681fe62efeac6c12,Android,SM-G532M,1
2000252,a61c8630267a1e2d,Android,SM-N975F,5
2000253,02D38425-0FF5-4A6A-8C78-00CFDA4389F8,iOS,iPhone 8,5
2000254,42f198d754d7b91e,Android,SM-A305G,1
2000255,293EA6E2-9AA4-482E-814F-C2E5FADB3B0C,iOS,"iPad11,3",1
2000256,aee6e32ec7e5c50e,Android,LYA-L09,4
2000257,9F497349-D02B-42C3-9D17-39822AD283BB,iOS,"iPhone11,2",5
2000258,d0a8288f34668ee3,Android,SM-A705MN,3
2000259,AD7A81F7-C608-4CE4-A4F9-BFA43FC9C794,iOS,iPhone 6 Plus,3
2000260,04e0f56e6bb94ed6,Android,SM-G985F,-1
2000261,EE1B83AF-7AB0-4966-A4A4-6D8FD64CE776,iOS,iPhone 7,4
2000262,cdcf1aa93d1bfc05,Android,Moto G (5) Plus,3
2000263,70A110B2-6A4D-417F-B9BD-73EAB68DACAE,iOS,"iPhone11,8",5
2000264,6e84942ab9bd83f6,Android,VOG-L04,4
2000265,70953799-C9C5-4E15-8A51-5786174C4A23,iOS,iPhone 8,5
2000266,f3cd326dd12f6e28,Android,Redmi Note 6 Pro,2
2000267,8f23c8b6ae554ce,Android,LM-X210,1
2000268,3a3e7441254dd42f,Android,SM-A530F,3
2000269,B3D5E334-D162-4759-9A98-6320C4A52557,iOS,iPhone 7,4
2000270,45b9fe3e63587f8a,Android,G3123,1
2000271,991ea3f73ffb1c52,Android,SM-J510MN,2
2000272,1fd950c3c1e1a3e2,Android,Redmi Note 7,1
2000273,E50E90DE-B5CF-48C0-A1F0-987E39E9C0C5,iOS,iPhone 8 Plus,5
2000274,6A7D6627-3D0A-4D87-9490-94F9490B26AD,iOS,iPhone X,5
2000275,b99e78c2e078e7b8,Android,SM-A705MN,3
2000276,c66646d456d8f205,Android,HUAWEI NXT-L09,3
2000277,a708796d27537eeb,Android,SM-J700M,1
2000278,52A59A58-C3F2-4C78-B7FB-9B5670D08BA9,iOS,iPhone 7 Plus,4
2000279,a80330bf0d95039d,Android,POCO F2 Pro,-1
2000280,2c509c4b9fe1df0e,Android,ANE-LX3,3
2000281,e4a6ebafa82ba172,Android,PH-1,2
2000282,C62EE999-E128-4C8F-B627-A08FFF21BC66,iOS,iPhone X,5
2000283,3389E9D8-2B8B-402B-AD29-DD8810817D06,iOS,iPhone 8 Plus,5
2000284,963a1c91a42a205f,Android,SM-G975F,4
2000285,CC12E912-CC10-4404-81AF-5173A301A5DC,iOS,iPhone 7,4
2000286,5d4aafac59733e2e,Android,SM-A205G,1
2000287,99d22c6f2c66f50b,Android,moto e5 play,1
2000288,bc2c1340820fa043,Android,moto e5 play,1
2000289,F773FA29-01B7-41D8-B353-B5C2B0F03FDA,iOS,"iPhone11,8",5
2000290,14BB9648-3AA3-4E4F-AB51-4C48442A07E8,iOS,iPhone X,5
2000291,a7174c3e63e5348a,Android,SM-A750G,3
2000292,e318f91050c9c909,Android,SM-G9600,3
2000293,00c2297f5dca03b1,Android,SM-A530F,3
2000294,d19813adefa41aac,Android,SM-G9600,3
2000295,b21ab5843cf123d4,Android,SM-G9600,3
2000296,dc00043f92c8d5f7,Android,ALP-L09,4
2000297,610bdfc064f35aee,Android,RNE-L03,2
2000298,363A0788-410A-43F8-B848-DF352C37A840,iOS,iPhone 8 Plus,5
2000299,5F325E28-3FFF-4894-BB81-AA610733148D,iOS,iPhone 7,4
2000300,b4b1d9d5ee44d5cc,Android,Blade V6 Plus,1
2000301,2d991c3aa6d9f45d,Android,LM-X210,1
2000302,c5f9e1ad824345c7,Android,motorola one macro,1
2000303,86db2051df3fbd87,Android,MAR-LX3A,2
2000304,05e6defabc108e85,Android,SM-N975F,5
2000305,f0fac879c58d248a,Android,FLA-LX3,3
2000306,e36a8cb514f4ca5e,Android,SM-G935S,1
2000307,8dd0732e0a192837,Android,JAT-LX3,2
2000308,ebc2f12676b4af4f,Android,Moto G (4),2
2000309,77EDFEDE-E797-45F0-80D5-4AA450DC6D3A,iOS,iPhone 7 Plus,4
2000310,61ee7a716094be12,Android,SM-N9600,5
2000311,2912ad69c68a08d3,Android,motorola one,1
2000312,CC933102-AF05-4DFA-9EE6-0CD5DA247281,iOS,"iPhone11,8",5
2000313,b434df20dca03c29,Android,LYA-L09,4
2000314,B6028878-9E88-4859-B2BE-4B92754860C7,iOS,iPhone X,5
2000315,38bfdb2da475124b,Android,SM-A705MN,3
2000316,ff938eb1d6aaf151,Android,moto g(6) play,1
2000317,c3bf6e535e84b286,Android,SNE-LX3,3
2000318,F25AEFF6-83FD-48CF-AB1F-D11F022011B1,iOS,iPhone 6,3
2000319,B6F1FC75-FECC-4359-9BD7-46D1A1EB2148,iOS,iPhone 6,3
2000320,a649cee42d52db9f,Android,BLADE V8Q,2
2000321,F9337FF7-D24C-4DFF-9920-47E7A9662128,iOS,iPhone 6s,4
2000322,58EB96A1-A91A-4537-AAE1-7D1C2AA0767D,iOS,iPhone 7 Plus,4
2000323,2D753555-C70F-4890-93C5-AC0EC3699DF5,iOS,iPhone SE,4
2000324,2676c70b5c23cc02,Android,moto g(6) play,1
2000325,a9cd756f3683ea81,Android,YAL-L21,4
2000326,8939BDEC-133D-4375-B61F-11AFA80A3F98,iOS,iPhone 6,3
2000327,6307D10E-B7E1-40AA-869A-CEAEFDA485A8,iOS,iPad Air 2,3
2000328,80dc8bd7388cd9a2,Android,Moto G (5),2
2000329,12A9AB5F-8651-4E50-957C-FEE0DD9A7F40,iOS,"iPhone11,8",5
2000330,302fb6577649311f,Android,MAR-LX3A,2
2000331,8307DC5D-BE7F-4B31-B966-A3833B48BB9D,iOS,iPhone 8 Plus,5
2000332,AB9B51CB-FC68-4A32-A65E-FFDF8466BFA7,iOS,iPhone 7,4
2000333,9464381A-6913-4C1B-A31F-B1D92A1B0892,iOS,iPhone 6,3
2000334,75f7d3008051317a,Android,SM-G9650,4
2000335,b47178063946b345,Android,SM-J810M,3
2000336,bcf9d2e77b594723,Android,CAG-L23,1
2000337,20C6BF05-3835-4F04-A191-69351515449B,iOS,iPhone 8 Plus,5
2000338,EA35FCF1-6C0A-4786-BD69-A994776A7A4E,iOS,iPhone 8 Plus,5
2000339,622ee3c297b64c72,Android,SM-A305G,1
2000340,AA03F843-3E0E-4AB5-9163-311D5E23E818,iOS,iPhone 6,3
2000341,ba9f990dda4879e5,Android,ALP-L09,4
2000342,789ED477-EBEA-433F-BAC8-0FE1883BB962,iOS,iPhone 6,3
2000343,EB5FAAC7-131F-4BFE-825C-BE17F47885F4,iOS,iPhone 8,5
2000344,8addee51d3db1ce3,Android,BAC-L03,3
2000345,390f8bbc40ebd90a,Android,PAR-LX9,4
2000346,d7092e980c64329a,Android,SM-J730GM,2
2000347,F7FE4714-0926-488E-8D9C-FA489A197EB1,iOS,iPhone X,5
2000348,57C738C3-7B76-41A7-8D0F-070D384EBA89,iOS,"iPhone11,6",5
2000349,c8b2c9037af28f52,Android,SM-N975F,5
2000350,45bba81c62de8fed,Android,CAM-L03,1
2000351,423d9111755a9777,Android,moto g(6) play,1
2000352,2ff138d415cf0a75,Android,PRA-LX3,2
2000353,95a23beb87c220f9,Android,Redmi 5 Plus,2
2000354,4DDF4BF7-CC91-46C2-8D76-CCDD394DA3C9,iOS,iPhone 7 Plus,4
2000355,D51091FC-649F-4425-AAD4-FD4F88ACEB4C,iOS,iPhone 8,5
2000356,c2c7f59e8e860e67,Android,5010G,1
2000357,2884577390e4bfe1,Android,moto g(8),2
2000358,EDFD7602-DDF0-4B93-A67A-2B41BDCB2CBF,iOS,iPhone X,5
2000359,7CC79694-8E7F-4784-91D5-994B06A78B66,iOS,iPhone 8 Plus,5
2000360,38FC69FA-F4A8-4A83-A8DF-CB06F51C27A9,iOS,iPhone 8 Plus,5
2000361,459BA67E-B1A7-4F7B-92F8-B3ECA9240D19,iOS,iPhone 6,3
2000362,842C9E5C-9795-413A-B69E-773430D25AE8,iOS,"iPhone12,1",5
2000363,51321d2feab3b651,Android,VOG-L04,4
2000364,345656AF-8532-4B2B-92C1-CF978C6DB973,iOS,iPhone 8 Plus,5
2000365,6FDE9C3F-C346-45D3-B978-33D2A8F5A03E,iOS,iPhone X,5
2000366,1653A657-3DD4-4C79-BAC5-38C8842F75F6,iOS,iPhone 6s,4
2000367,D36EF21E-455D-4579-B08E-066BD8DFF077,iOS,iPhone 6,3
2000368,b2740c941cf61ac1,Android,JKM-LX3,2
2000369,94ac46fec7944b76,Android,SM-J810M,3
2000370,e78fbb05a84bd36e,Android,HMA-L09,4
2000371,8da50a978c521990,Android,XT1063,1
2000372,c7ab7a43e41cab79,Android,XT1635-02,2
2000373,e895fd43cf806c41,Android,Moto G (5),2
2000374,df48a8ce55f2949b,Android,SM-J400M,2
2000375,aad36180eb5d06dc,Android,Moto G (4),2
2000376,312D0FAA-79BE-46AF-9858-76ECD7CFEBD4,iOS,iPhone X,5
2000377,25b48421d6d53b8c,Android,SM-G9650,4
2000378,EF403557-E0C7-4432-92EA-26F223381895,iOS,iPhone 7,4
2000379,f66934a782efa171,Android,HMA-L09,4
2000380,7c682b2ab2122e14,Android,SM-A920F,4
2000381,6e800351ed8f3a87,Android,STK-LX3,2
2000382,4dc33c326088b47d,Android,SM-N975F,5
2000383,4797a18b60b2188e,Android,moto g(7),2
2000384,845ca5d779d37ebe,Android,POCOPHONE F1,-1
2000385,8f9b59f1aaaad8e9,Android,SM-G532M,1
2000386,8b6ac66b76f41765,Android,Moto G Play,1
