"FROM_LINK","TO_LINK","START_DATE","END_DATE","STATUS"
5846,3071,"01/01/2020","12/31/9999","A"
5749,5772,"01/01/2020","12/31/9999","A"
5772,2682,"01/01/2020","12/31/9999","A"
5776,4987,"01/01/2020","12/31/9999","A"
5776,3487,"01/01/2020","12/31/9999","A"
5846,2668,"01/01/2020","12/31/9999","A"
5765,5855,"01/01/2020","12/31/9999","A"
5855,4211,"01/01/2020","12/31/9999","A"
5776,5006,"01/01/2020","12/31/9999","A"
5855,4994,"01/01/2020","12/31/9999","A"
5802,5380,"01/01/2020","12/31/9999","A"
5716,3858,"01/01/2020","12/31/9999","A"
5168,5736,"01/01/2020","12/31/9999","A"
5776,4600,"01/01/2020","12/31/9999","A"
5846,4218,"01/01/2020","12/31/9999","A"
5776,5855,"01/01/2020","12/31/9999","A"
3676,4978,"01/01/2020","12/31/9999","A"
5846,2684,"01/01/2020","12/31/9999","A"
5846,4562,"01/01/2020","12/31/9999","A"
5802,2689,"01/01/2020","12/31/9999","A"
5846,5009,"01/01/2020","12/31/9999","A"
3493,4992,"01/01/2020","12/31/9999","A"
5846,2667,"01/01/2020","12/31/9999","A"
5802,3480,"01/01/2020","12/31/9999","A"
2686,3866,"01/01/2020","12/31/9999","A"
5846,5381,"01/01/2020","12/31/9999","A"
5772,2687,"01/01/2020","12/31/9999","A"
5758,5694,"01/01/2020","12/31/9999","A"
2835,6665,"01/01/2020","12/31/9999","A"
3493,5749,"01/01/2020","12/31/9999","A"
5694,5008,"01/01/2020","12/31/9999","A"
5749,5004,"01/01/2020","12/31/9999","A"
5776,3063,"01/01/2020","12/31/9999","A"
5802,5005,"01/01/2020","12/31/9999","A"
4040,5765,"01/01/2020","12/31/9999","A"
5749,2683,"01/01/2020","12/31/9999","A"
4592,3074,"01/01/2020","12/31/9999","A"
3220,5694,"01/01/2020","12/31/9999","A"
3493,5772,"01/01/2020","12/31/9999","A"
4346,5694,"01/01/2020","12/31/9999","A"
5830,5694,"01/01/2020","12/31/9999","A"
3495,5200,"01/01/2020","12/31/9999","A"
5779,2705,"01/01/2020","12/31/9999","A"
3497,5823,"01/01/2020","12/31/9999","A"
5773,2698,"01/01/2020","12/31/9999","A"
5774,2711,"01/01/2020","12/31/9999","A"
5773,3499,"01/01/2020","12/31/9999","A"
3872,3512,"01/01/2020","12/31/9999","A"
5690,5773,"01/01/2020","12/31/9999","A"
5779,5403,"01/01/2020","12/31/9999","A"
5763,5831,"01/01/2020","12/31/9999","A"
5779,3507,"01/01/2020","12/31/9999","A"
3513,5774,"01/01/2020","12/31/9999","A"
5775,5018,"01/01/2020","12/31/9999","A"
5779,3877,"01/01/2020","12/31/9999","A"
5779,3506,"01/01/2020","12/31/9999","A"
3872,5773,"01/01/2020","12/31/9999","A"
5774,3880,"01/01/2020","12/31/9999","A"
5774,2717,"01/01/2020","12/31/9999","A"
5847,3503,"01/01/2020","12/31/9999","A"
5831,4622,"01/01/2020","12/31/9999","A"
5775,5773,"01/01/2020","12/31/9999","A"
5827,5779,"01/01/2020","12/31/9999","A"
5774,4628,"01/01/2020","12/31/9999","A"
5835,5773,"01/01/2020","12/31/9999","A"
5847,4627,"01/01/2020","12/31/9999","A"
5773,5014,"01/01/2020","12/31/9999","A"
5775,2697,"01/01/2020","12/31/9999","A"
5779,2707,"01/01/2020","12/31/9999","A"
5750,5017,"01/01/2020","12/31/9999","A"
5847,5401,"01/01/2020","12/31/9999","A"
5779,3093,"01/26/2020","12/31/9999","A"
5774,5024,"01/01/2020","12/31/9999","A"
5774,2716,"01/01/2020","12/31/9999","A"
5775,2713,"01/01/2020","12/31/9999","A"
5775,3086,"01/01/2020","12/31/9999","A"
5792,3512,"01/01/2020","12/31/9999","A"
6574,4244,"01/01/2020","12/31/9999","A"
5847,5015,"01/01/2020","12/31/9999","A"
5774,4238,"01/01/2020","12/31/9999","A"
4019,3649,"01/01/2020","12/31/9999","A"
5831,5718,"01/01/2020","12/31/9999","A"
5718,3092,"01/01/2020","12/31/9999","A"
5773,4629,"01/01/2020","12/31/9999","A"
5831,4235,"01/01/2020","12/31/9999","A"
5847,5013,"01/01/2020","12/31/9999","A"
5718,3094,"01/01/2020","12/31/9999","A"
5773,6534,"01/01/2020","12/31/9999","A"
5750,3085,"01/01/2020","12/31/9999","A"
3872,5407,"01/01/2020","12/31/9999","A"
5423,5566,"01/01/2020","12/31/9999","A"
5566,5718,"01/01/2020","12/31/9999","A"
5718,2707,"01/01/2020","12/31/9999","A"
5691,3508,"01/01/2020","12/31/9999","A"
5773,3093,"01/26/2020","12/31/9999","A"
5831,5775,"01/01/2020","12/31/9999","A"
5775,4618,"01/01/2020","12/31/9999","A"
5831,2712,"01/01/2020","12/31/9999","A"
5775,3085,"01/01/2020","12/31/9999","A"
5699,5700,"01/01/2020","12/31/9999","A"
5847,3090,"01/01/2020","12/31/9999","A"
5847,5402,"01/01/2020","12/31/9999","A"
5690,2705,"01/01/2020","12/31/9999","A"
5714,5831,"01/01/2020","12/31/9999","A"
5779,4624,"01/01/2020","12/31/9999","A"
5847,4969,"01/01/2020","12/31/9999","A"
5773,5023,"01/01/2020","12/31/9999","A"
5750,4618,"01/01/2020","12/31/9999","A"
5779,5718,"01/01/2020","12/31/9999","A"
5750,6639,"01/01/2020","12/31/9999","A"
5847,3499,"01/01/2020","12/31/9999","A"
5718,3507,"01/01/2020","12/31/9999","A"
5847,5395,"01/01/2020","12/31/9999","A"
5847,2696,"01/01/2020","12/31/9999","A"
5750,3087,"01/01/2020","12/31/9999","A"
5847,3083,"01/01/2020","12/31/9999","A"
5691,5718,"01/01/2020","12/31/9999","A"
5847,3835,"01/01/2020","12/31/9999","A"
5773,5779,"01/01/2020","12/31/9999","A"
5691,4234,"01/01/2020","12/31/9999","A"
5847,3500,"01/01/2020","12/31/9999","A"
2743,2701,"01/01/2020","12/31/9999","A"
3509,4634,"01/01/2020","12/31/9999","A"
5690,3512,"01/01/2020","12/31/9999","A"
5014,3102,"01/01/2020","12/31/9999","A"
3332,5803,"01/01/2020","12/31/9999","A"
5688,6695,"01/01/2020","12/31/9999","A"
5800,4246,"01/01/2020","12/31/9999","A"
5781,3521,"01/01/2020","12/31/9999","A"
5780,2729,"01/01/2020","12/31/9999","A"
6693,3518,"01/01/2020","12/31/9999","A"
5719,6707,"01/01/2020","12/31/9999","A"
4840,4072,"01/01/2020","12/31/9999","A"
5209,5824,"01/01/2020","12/31/9999","A"
5848,5037,"01/01/2020","12/31/9999","A"
5688,6721,"01/01/2020","12/31/9999","A"
3125,5848,"01/01/2020","12/31/9999","A"
5780,5032,"01/01/2020","12/31/9999","A"
5781,6715,"01/01/2020","12/31/9999","A"
5781,6720,"01/01/2020","12/31/9999","A"
5712,3517,"01/01/2020","12/31/9999","A"
6687,3288,"01/01/2020","12/31/9999","A"
5411,4653,"01/01/2020","12/31/9999","A"
5857,5712,"01/01/2020","12/31/9999","A"
5857,3688,"01/01/2020","12/31/9999","A"
5752,3107,"01/01/2020","12/31/9999","A"
5803,4638,"01/01/2020","12/31/9999","A"
5848,2915,"01/01/2020","12/31/9999","A"
5781,6696,"01/01/2020","12/31/9999","A"
2732,4251,"01/01/2020","12/31/9999","A"
6694,5417,"01/01/2020","12/31/9999","A"
5848,6714,"01/01/2020","12/31/9999","A"
3124,5166,"01/01/2020","12/31/9999","A"
6724,2732,"01/01/2020","12/31/9999","A"
5781,6693,"01/01/2020","12/31/9999","A"
5848,2912,"01/01/2020","12/31/9999","A"
5857,6689,"01/01/2020","12/31/9999","A"
5794,5803,"01/01/2020","12/31/9999","A"
5688,4245,"01/01/2020","12/31/9999","A"
5719,5803,"01/01/2020","12/31/9999","A"
5752,4247,"01/01/2020","12/31/9999","A"
6702,5025,"01/01/2020","12/31/9999","A"
5739,3522,"01/01/2020","12/31/9999","A"
5688,2732,"01/01/2020","12/31/9999","A"
5781,6718,"01/01/2020","12/31/9999","A"
6718,5034,"01/01/2020","12/31/9999","A"
5848,4844,"01/01/2020","12/31/9999","A"
5781,5031,"01/01/2020","12/31/9999","A"
5211,4087,"01/01/2020","12/31/9999","A"
5848,6696,"01/01/2020","12/31/9999","A"
5848,4828,"01/01/2020","12/31/9999","A"
5742,6704,"01/01/2020","12/31/9999","A"
6704,3891,"01/01/2020","12/31/9999","A"
5688,5752,"01/01/2020","12/31/9999","A"
5688,5824,"01/01/2020","12/31/9999","A"
3130,6694,"01/01/2020","12/31/9999","A"
5719,5712,"01/01/2020","12/31/9999","A"
5742,6715,"01/01/2020","12/31/9999","A"
6715,5410,"01/01/2020","12/31/9999","A"
5848,6512,"01/01/2020","12/31/9999","A"
6512,6526,"01/01/2020","03/23/2020","A"
3130,4646,"01/01/2020","12/31/9999","A"
5752,3887,"01/01/2020","12/31/9999","A"
5742,6690,"01/01/2020","12/31/9999","A"
5781,6702,"01/01/2020","12/31/9999","A"
6702,3294,"01/01/2020","12/31/9999","A"
5428,6690,"01/01/2020","12/31/9999","A"
5794,3332,"01/01/2020","12/31/9999","A"
5739,3891,"01/01/2020","12/31/9999","A"
4413,4861,"01/01/2020","12/31/9999","A"
5209,3522,"01/01/2020","12/31/9999","A"
5781,6717,"01/01/2020","12/31/9999","A"
5848,3699,"01/01/2020","12/31/9999","A"
5704,6697,"01/01/2020","12/31/9999","A"
5688,4646,"01/01/2020","12/31/9999","A"
5739,3888,"01/01/2020","12/31/9999","A"
5794,5780,"01/01/2020","12/31/9999","A"
5739,5557,"01/01/2020","12/31/9999","A"
4636,4424,"01/01/2020","12/31/9999","A"
5743,6716,"01/01/2020","12/31/9999","A"
5857,6691,"01/01/2020","12/31/9999","A"
6717,2731,"01/01/2020","12/31/9999","A"
6719,5415,"01/01/2020","12/31/9999","A"
3887,5044,"01/01/2020","12/31/9999","A"
5848,6686,"01/01/2020","12/31/9999","A"
5848,6720,"01/01/2020","12/31/9999","A"
5742,4060,"01/01/2020","12/31/9999","A"
5803,3890,"01/01/2020","12/31/9999","A"
5804,5557,"01/01/2020","12/31/9999","A"
5209,2947,"01/01/2020","12/31/9999","A"
6706,5028,"01/01/2020","12/31/9999","A"
5688,3040,"01/01/2020","12/31/9999","A"
6716,2896,"01/01/2020","12/31/9999","A"
3725,6721,"01/01/2020","12/31/9999","A"
5848,6688,"01/01/2020","12/31/9999","A"
5739,6721,"01/01/2020","12/31/9999","A"
5742,3686,"01/01/2020","12/31/9999","A"
5753,6709,"01/01/2020","12/31/9999","A"
5689,6702,"01/01/2020","12/31/9999","A"
5209,6696,"01/01/2020","12/31/9999","A"
3541,5415,"01/01/2020","12/31/9999","A"
5425,5711,"01/01/2020","12/31/9999","A"
6617,6621,"01/01/2020","12/31/9999","A"
3541,6690,"01/01/2020","12/31/9999","A"
3537,2732,"01/01/2020","12/31/9999","A"
5803,4425,"01/01/2020","12/31/9999","A"
2907,3694,"01/01/2020","12/31/9999","A"
4250,2742,"01/01/2020","12/31/9999","A"
2731,3896,"01/01/2020","12/31/9999","A"
5688,6697,"01/01/2020","12/31/9999","A"
5808,5711,"01/01/2020","12/31/9999","A"
5719,6711,"01/01/2020","12/31/9999","A"
6720,5555,"01/01/2020","12/31/9999","A"
4827,4086,"01/01/2020","12/31/9999","A"
5719,5804,"01/01/2020","12/31/9999","A"
5843,6695,"01/01/2020","12/31/9999","A"
5740,5780,"01/01/2020","12/31/9999","A"
5743,6722,"01/01/2020","12/31/9999","A"
5739,2723,"01/01/2020","12/31/9999","A"
5743,6687,"01/01/2020","12/31/9999","A"
5209,6505,"01/01/2020","12/31/9999","A"
5707,4647,"01/01/2020","12/31/9999","A"
5811,5048,"01/01/2020","12/31/9999","A"
4667,5729,"01/01/2020","12/31/9999","A"
5811,2767,"01/01/2020","12/31/9999","A"
5810,5439,"01/01/2020","12/31/9999","A"
4668,5809,"01/01/2020","12/31/9999","A"
3582,5851,"01/01/2020","12/31/9999","A"
4673,5466,"01/01/2020","12/31/9999","A"
5080,5757,"01/01/2020","12/31/9999","A"
3582,3560,"01/01/2020","12/31/9999","A"
5851,4672,"01/01/2020","12/31/9999","A"
5811,5442,"01/01/2020","12/31/9999","A"
5432,5825,"01/01/2020","12/31/9999","A"
5825,5757,"01/01/2020","12/31/9999","A"
5757,5052,"01/01/2020","12/31/9999","A"
5825,4281,"01/01/2020","12/31/9999","A"
5811,2754,"01/01/2020","12/31/9999","A"
3582,5464,"01/01/2020","12/31/9999","A"
5464,5826,"01/01/2020","12/31/9999","A"
5826,4691,"01/01/2020","12/31/9999","A"
4691,2781,"01/01/2020","12/31/9999","A"
5826,4266,"01/01/2020","12/31/9999","A"
5757,4269,"01/01/2020","12/31/9999","A"
5757,4682,"01/01/2020","12/31/9999","A"
4682,5460,"01/01/2020","12/31/9999","A"
3582,3945,"01/01/2020","12/31/9999","A"
3945,5437,"01/01/2020","12/31/9999","A"
5811,5757,"01/01/2020","12/31/9999","A"
5757,5851,"01/01/2020","12/31/9999","A"
5851,2755,"01/01/2020","12/31/9999","A"
3959,5757,"01/01/2020","12/31/9999","A"
5851,5438,"01/01/2020","12/31/9999","A"
5811,3914,"01/01/2020","12/31/9999","A"
3582,5826,"01/01/2020","12/31/9999","A"
5826,5439,"01/01/2020","12/31/9999","A"
5757,3552,"01/01/2020","12/31/9999","A"
5730,5856,"01/01/2020","12/31/9999","A"
2802,5731,"01/01/2020","12/31/9999","A"
3582,5757,"01/01/2020","12/31/9999","A"
5731,3916,"01/01/2020","12/31/9999","A"
5693,3922,"01/01/2020","12/31/9999","A"
5756,5811,"01/01/2020","12/31/9999","A"
5811,5058,"01/01/2020","12/31/9999","A"
3555,3159,"01/01/2020","12/31/9999","A"
5850,5826,"01/01/2020","12/31/9999","A"
5826,3140,"01/01/2020","12/31/9999","A"
5730,5826,"01/01/2020","12/31/9999","A"
5756,3553,"01/01/2020","12/31/9999","A"
5757,3135,"01/01/2020","12/31/9999","A"
5826,4284,"01/01/2020","12/31/9999","A"
5851,4677,"01/01/2020","12/31/9999","A"
5835,5811,"01/01/2020","12/31/9999","A"
5826,5445,"01/01/2020","12/31/9999","A"
5756,4271,"01/01/2020","12/31/9999","A"
5850,3544,"01/01/2020","12/31/9999","A"
5811,4278,"01/01/2020","12/31/9999","A"
4266,4303,"01/01/2020","12/31/9999","A"
5757,4276,"01/01/2020","12/31/9999","A"
5755,5048,"01/01/2020","12/31/9999","A"
5811,4686,"01/01/2020","12/31/9999","A"
5731,2746,"01/01/2020","12/31/9999","A"
5809,5693,"01/01/2020","12/31/9999","A"
5754,5731,"01/01/2020","12/31/9999","A"
5474,5693,"01/01/2020","12/31/9999","A"
5834,4272,"01/01/2020","12/31/9999","A"
5757,4684,"01/01/2020","12/31/9999","A"
5757,4281,"01/01/2020","12/31/9999","A"
5851,5433,"01/01/2020","12/31/9999","A"
4842,5826,"01/01/2020","12/31/9999","A"
5474,3560,"01/01/2020","12/31/9999","A"
5731,3924,"01/01/2020","12/31/9999","A"
5756,5058,"01/01/2020","12/31/9999","A"
5826,5056,"01/01/2020","12/31/9999","A"
5754,2757,"01/01/2020","12/31/9999","A"
5756,5426,"01/01/2020","12/31/9999","A"
4267,5086,"01/01/2020","12/31/9999","A"
4815,5834,"01/01/2020","12/31/9999","A"
4286,6645,"01/01/2020","12/31/9999","A"
5730,4266,"01/01/2020","12/31/9999","A"
3545,3937,"01/01/2020","12/31/9999","A"
5754,5811,"01/01/2020","12/31/9999","A"
5810,3546,"01/01/2020","12/31/9999","A"
5693,2770,"01/01/2020","12/31/9999","A"
5731,2770,"01/01/2020","12/31/9999","A"
5850,3131,"01/01/2020","12/31/9999","A"
2757,5082,"01/01/2020","12/31/9999","A"
5757,3543,"01/01/2020","12/31/9999","A"
5066,4696,"01/01/2020","12/31/9999","A"
2747,5076,"01/01/2020","12/31/9999","A"
5693,4665,"01/01/2020","12/31/9999","A"
4276,4304,"01/01/2020","12/31/9999","A"
5442,4715,"01/01/2020","12/31/9999","A"
5731,2745,"01/01/2020","12/31/9999","A"
2753,2776,"01/01/2020","12/31/9999","A"
5445,5456,"01/01/2020","12/31/9999","A"
5755,5851,"01/01/2020","12/31/9999","A"
4658,2780,"01/01/2020","12/31/9999","A"
4817,5856,"01/01/2020","12/31/9999","A"
5437,3945,"01/01/2020","12/31/9999","A"
4690,3673,"01/01/2020","12/31/9999","A"
3916,5547,"01/01/2020","12/31/9999","A"
5559,3906,"01/01/2020","12/31/9999","A"
3911,3943,"01/01/2020","12/31/9999","A"
3550,4703,"01/01/2020","12/31/9999","A"
3925,5217,"01/01/2020","12/31/9999","A"
2763,2785,"01/01/2020","12/31/9999","A"
5826,5856,"01/01/2020","12/31/9999","A"
2766,4063,"01/01/2020","12/31/9999","A"
5195,5856,"01/01/2020","12/31/9999","A"
3544,5463,"01/01/2020","12/31/9999","A"
5056,3389,"01/01/2020","12/31/9999","A"
4670,3564,"01/01/2020","12/31/9999","A"
4259,4409,"01/01/2020","12/31/9999","A"
3145,4140,"01/01/2020","12/31/9999","A"
5730,5810,"01/01/2020","12/31/9999","A"
4288,5202,"01/01/2020","12/31/9999","A"
4270,3152,"01/01/2020","12/31/9999","A"
3535,2881,"01/01/2020","12/31/9999","A"
5059,4704,"01/01/2020","12/31/9999","A"
5756,5096,"01/01/2020","12/31/9999","A"
5063,5563,"01/01/2020","12/31/9999","A"
5447,3936,"01/01/2020","12/31/9999","A"
3721,3386,"01/01/2020","12/31/9999","A"
5731,5826,"01/01/2020","12/31/9999","A"
5559,3916,"01/01/2020","12/31/9999","A"
3121,3561,"01/01/2020","12/31/9999","A"
2765,2787,"01/01/2020","12/31/9999","A"
3556,3154,"01/01/2020","12/31/9999","A"
2756,3942,"01/01/2020","12/31/9999","A"
3534,4033,"01/01/2020","12/31/9999","A"
4663,3285,"01/01/2020","12/31/9999","A"
5757,5252,"01/01/2020","12/31/9999","A"
3914,4084,"01/01/2020","12/31/9999","A"
5731,2797,"01/01/2020","12/31/9999","A"
5731,3594,"01/01/2020","12/31/9999","A"
5812,5490,"01/01/2020","12/31/9999","A"
4756,5812,"01/01/2020","12/31/9999","A"
5737,5758,"01/01/2020","12/31/9999","A"
5731,3178,"01/01/2020","12/31/9999","A"
5761,5470,"01/01/2020","12/31/9999","A"
5758,3976,"01/01/2020","12/31/9999","A"
5812,2820,"01/01/2020","12/31/9999","A"
5758,3577,"01/01/2020","12/31/9999","A"
5693,4308,"01/01/2020","12/31/9999","A"
5694,4740,"01/01/2020","12/31/9999","A"
5694,2795,"01/01/2020","12/31/9999","A"
5812,5092,"01/01/2020","12/31/9999","A"
5812,2819,"01/01/2020","12/31/9999","A"
5782,5853,"01/01/2020","12/31/9999","A"
5758,5073,"01/01/2020","12/31/9999","A"
5731,4711,"01/01/2020","12/31/9999","A"
5853,4446,"01/01/2020","12/31/9999","A"
5758,2808,"01/01/2020","12/31/9999","A"
5853,5482,"01/01/2020","12/31/9999","A"
5758,3190,"01/01/2020","12/31/9999","A"
5812,4334,"01/01/2020","12/31/9999","A"
5854,5733,"01/01/2020","12/31/9999","A"
5758,2771,"01/01/2020","12/31/9999","A"
5762,5853,"01/01/2020","12/31/9999","A"
5853,5814,"01/01/2020","12/31/9999","A"
5853,4305,"01/01/2020","12/31/9999","A"
5697,3169,"01/01/2020","12/31/9999","A"
5853,3203,"01/01/2020","12/31/9999","A"
5853,2775,"01/01/2020","12/31/9999","A"
5758,4329,"01/01/2020","12/31/9999","A"
5853,2816,"01/01/2020","12/31/9999","A"
5731,3209,"01/01/2020","12/31/9999","A"
5854,3575,"01/01/2020","12/31/9999","A"
5758,4721,"01/01/2020","12/31/9999","A"
5733,3980,"01/01/2020","12/31/9999","A"
5812,4708,"01/01/2020","12/31/9999","A"
5694,3601,"01/01/2020","12/31/9999","A"
5758,3975,"01/01/2020","12/31/9999","A"
5812,4709,"01/01/2020","12/31/9999","A"
5694,6582,"01/01/2020","12/31/9999","A"
5758,5093,"01/01/2020","12/31/9999","A"
5829,3571,"01/01/2020","12/31/9999","A"
5732,3307,"01/01/2020","12/31/9999","A"
5853,3587,"01/01/2020","12/31/9999","A"
5762,5813,"01/01/2020","12/31/9999","A"
5758,3170,"01/01/2020","12/31/9999","A"
5481,3607,"01/01/2020","12/31/9999","A"
5782,4727,"01/01/2020","12/31/9999","A"
4000,5812,"01/01/2020","12/31/9999","A"
5758,3206,"01/01/2020","12/31/9999","A"
5694,4326,"01/01/2020","12/31/9999","A"
5758,4732,"01/01/2020","12/31/9999","A"
5812,4325,"01/01/2020","12/31/9999","A"
5694,4289,"01/01/2020","12/31/9999","A"
5732,3169,"01/01/2020","12/31/9999","A"
5758,4713,"01/01/2020","12/31/9999","A"
5694,3986,"01/01/2020","12/31/9999","A"
5761,2773,"01/01/2020","12/31/9999","A"
5694,5453,"01/01/2020","12/31/9999","A"
5762,3596,"01/01/2020","12/31/9999","A"
5091,3292,"01/01/2020","12/31/9999","A"
5812,4321,"01/01/2020","12/31/9999","A"
5131,5812,"01/01/2020","12/31/9999","A"
5853,2818,"01/01/2020","12/31/9999","A"
5761,5758,"01/01/2020","12/31/9999","A"
5812,5853,"01/01/2020","12/31/9999","A"
5694,3198,"01/01/2020","12/31/9999","A"
5694,3600,"01/01/2020","12/31/9999","A"
5758,3201,"01/01/2020","12/31/9999","A"
5694,5075,"01/01/2020","12/31/9999","A"
5758,3604,"01/01/2020","12/31/9999","A"
5830,3176,"01/01/2020","12/31/9999","A"
5762,5759,"01/01/2020","12/31/9999","A"
5812,3950,"01/01/2020","12/31/9999","A"
5853,4333,"01/01/2020","12/31/9999","A"
5830,3571,"01/01/2020","12/31/9999","A"
5758,3182,"01/01/2020","12/31/9999","A"
4742,5219,"01/01/2020","12/31/9999","A"
6735,5853,"01/01/2020","12/31/9999","A"
5758,5106,"01/01/2020","12/31/9999","A"
5732,3982,"01/01/2020","12/31/9999","A"
5697,3567,"01/01/2020","12/31/9999","A"
4346,5814,"01/01/2020","12/31/9999","A"
5782,3601,"01/01/2020","12/31/9999","A"
5758,4710,"01/01/2020","12/31/9999","A"
5758,3567,"01/01/2020","12/31/9999","A"
5729,4311,"01/01/2020","12/31/9999","A"
5729,3573,"01/01/2020","12/31/9999","A"
5761,4739,"01/01/2020","12/31/9999","A"
5694,4291,"01/01/2020","12/31/9999","A"
4756,5813,"01/01/2020","12/31/9999","A"
5732,5759,"01/01/2020","12/31/9999","A"
5729,2792,"01/01/2020","12/31/9999","A"
3953,3750,"01/01/2020","12/31/9999","A"
5602,3212,"01/01/2020","12/31/9999","A"
5830,5759,"01/01/2020","12/31/9999","A"
